"file","year","nc","nr","bands_src","threshold","frac_total","frac_interior"
"bc77033_096_thumb.jpg","1977",1250,1250,1,64,0.067345,0.001248
"bc77033_097_thumb.jpg","1977",1250,1250,1,0,0.003734,0
"bc77033_097_thumb.jpg","1977",1250,1250,1,4,0.026803,0
"bc77033_097_thumb.jpg","1977",1250,1250,1,8,0.03105,0
"bc77033_097_thumb.jpg","1977",1250,1250,1,12,0.033078,0
"bc77033_097_thumb.jpg","1977",1250,1250,1,16,0.034035,0
"bc77033_097_thumb.jpg","1977",1250,1250,1,20,0.034569,0
"bc77033_097_thumb.jpg","1977",1250,1250,1,24,0.035154,0
"bc77033_097_thumb.jpg","1977",1250,1250,1,32,0.036244,0
"bc77033_097_thumb.jpg","1977",1250,1250,1,48,0.040534,0
"bc77033_097_thumb.jpg","1977",1250,1250,1,64,0.055638,0.000232
"bc77033_098_thumb.jpg","1977",1250,1250,1,0,0.004166,0
"bc77033_098_thumb.jpg","1977",1250,1250,1,4,0.025665,0
"bc77033_098_thumb.jpg","1977",1250,1250,1,8,0.027818,0
"bc77033_098_thumb.jpg","1977",1250,1250,1,12,0.028767,0
"bc77033_098_thumb.jpg","1977",1250,1250,1,16,0.029267,0
"bc77033_098_thumb.jpg","1977",1250,1250,1,20,0.029731,0
